Brand,Model_Name,Model_Year,Vehicle_Age,Mileage_km,Engine_Capacity,Location_District,Condition,Fuel_Type,Transmission,Body_Type,Colour
Nissan,Presea,1995.0,31.0,150000.0,1500.0,Katugastota,Used,Petrol,Manual,Hatchback,black
Suzuki,Alto,2015.0,11.0,110000.0,660.0,Kalutara,Used,Petrol,Manual,Hatchback,silver
Mercedes Benz,EQB,2024.0,2.0,0.0,,Kotahena (Colombo 13),Brand New,Electric,Automatic,Hatchback,blue
Honda,N BOX,2015.0,11.0,245000.0,650.0,Raddolugama,Used,Petrol,Automatic,Station wagon,black
Honda,S660,2016.0,10.0,27000.0,1000.0,Borella (Colombo 08),Used,Petrol,Automatic,Hatchback,white
Suzuki,Spacia,2017.0,9.0,72700.0,960.0,Gampaha,Used,Petrol,Automatic,Hatchback,yellow
Daihatsu,Taft,2025.0,1.0,0.0,660.0,Negombo,Brand New,Petrol,Automatic,Liftback,white
Perodua,Axia,2017.0,9.0,137000.0,998.0,Piliyandala,Used,Petrol,Automatic,Hatchback,white
Nissan,Tiida,2007.0,19.0,240000.0,1500.0,Ja-Ela,Used,Petrol,Automatic,Sedan,white
Suzuki,Wagon R,2024.0,2.0,0.0,650.0,Negombo,Brand New,Petrol,Automatic,Hatchback,gray
Hyundai,Matrix,2001.0,25.0,171132.0,1599.0,Dehiwala,Used,Petrol,Automatic,Hatchback,blue
Nissan,Dayz,2024.0,2.0,6600.0,660.0,Kottawa,Brand New,Petrol,Automatic,Hatchback,black
Suzuki,Spacia,2017.0,9.0,95000.0,650.0,Homagama,Used,Petrol,Automatic,Station wagon,white
Toyota,Passo,2009.0,17.0,131.0,1000.0,Gampaha,Used,Petrol,Automatic,Hatchback,silver
Toyota,Yaris,2025.0,1.0,0.0,1000.0,Kollupitiya (Colombo 03),Brand New,Petrol,Automatic,Hatchback,white
Toyota,Vitz,2016.0,10.0,87900.0,1490.0,Maharagama,Used,Hybrid,Automatic,Hatchback,red
Nissan,Sunny,2004.0,22.0,225000.0,1500.0,Kalubowila,Used,Petrol,Automatic,Convertible,white
Suzuki,Wagon R,2023.0,3.0,8000.0,650.0,Matara,Brand New,Hybrid,Automatic,Hatchback,black
Toyota,Vios,2004.0,22.0,224000.0,1490.0,Pepiliyana,Used,Petrol,Automatic,Saloon,black
Nissan,Sakura,2023.0,3.0,9800.0,,Horana,Brand New,Electric,Automatic,Hatchback,blue
Suzuki,Wagon R,2014.0,12.0,112000.0,998.0,Anuradhapura,Used,Hybrid,Automatic,Station wagon,white
Suzuki,Wagon R,2017.0,9.0,110000.0,660.0,Katunayake,Used,Hybrid,Automatic,Liftback,white
Suzuki,Wagon R,2014.0,12.0,183000.0,660.0,Gampaha,Used,Hybrid,Automatic,Hatchback,black
Suzuki,Wagon R,2024.0,2.0,3400.0,690.0,Kurunegala,Brand New,Hybrid,Automatic,Hatchback,gray
Toyota,Axio,2007.0,19.0,180000.0,1496.0,Kirillawala,Used,Petrol,Automatic,Sedan,silver
Toyota,Aqua,2015.0,11.0,115000.0,1500.0,Malabe,Used,Hybrid,Automatic,Hatchback,black
Toyota,Aqua,2012.0,14.0,175000.0,1490.0,Mount Lavinia,Reconditioned,Hybrid,Automatic,Hatchback,orange
Suzuki,Celerio,2015.0,11.0,80000.0,1000.0,Kalmunai,Used,Petrol,Automatic,Hatchback,white
Mercedes Benz,S Class,2010.0,16.0,98000.0,3000.0,Kirulapone,Used,Petrol,Automatic,Sedan,black
Toyota,Corolla,2001.0,25.0,219386.0,1500.0,Ratnapura,Used,Petrol,Automatic,Saloon,black
Suzuki,Maruti,2011.0,15.0,93000.0,800.0,Morontuduwa,Used,Petrol,Manual,Hatchback,black
Suzuki,Celerio,2016.0,10.0,115000.0,1000.0,Kadawatha,Used,Petrol,Automatic,Hatchback,white
Toyota,Corolla,2023.0,3.0,3150.0,1500.0,Gampaha,Reconditioned,Petrol,Automatic,Saloon,red
Tesla,Model 3,2024.0,2.0,0.0,,Kotahena (Colombo 13),Reconditioned,Electric,Automatic,Hatchback,red
Suzuki,Swift,2000.0,26.0,180000.0,1300.0,Nugegoda,Used,Petrol,Automatic,Hatchback,blue
Suzuki,Wagon R,2017.0,9.0,150000.0,660.0,Anuradhapura,Used,Petrol,Automatic,Hatchback,white
Toyota,Vitz,2018.0,8.0,79000.0,1496.0,Gampaha,Used,Hybrid,Automatic,Hatchback,white
Toyota,Belta,2007.0,19.0,166600.0,1000.0,Homagama,Used,Petrol,Automatic,Saloon,silver
Toyota,Prius,2014.0,12.0,132000.0,1200.0,Colombo Fort (Colombo 01),Used,Petrol,Automatic,Hatchback,silver
Suzuki,Estilo,2011.0,15.0,89000.0,800.0,Sainthamaruthu,Used,Petrol,Automatic,Hatchback,brown
Suzuki,Wagon R,2018.0,8.0,76000.0,650.0,Wellampitiya,Used,Petrol,Automatic,Station wagon,white
Daihatsu,Taft,2023.0,3.0,0.0,658.0,Horana,Brand New,Petrol,Automatic,Hatchback,blue
Suzuki,Swift,2004.0,22.0,134000.0,1000.0,Kirulapone,Used,Petrol,Automatic,Hatchback,silver
Suzuki,Wagon R,2024.0,2.0,0.0,650.0,Narammala,Brand New,Petrol,Automatic,Hatchback,white
Daihatsu,Mira,2023.0,3.0,6610.0,660.0,Sapugaskanda,Brand New,Petrol,Automatic,Hatchback,black
Toyota,Corolla,1998.0,28.0,190000.0,1500.0,Dekatana,Used,Petrol,Automatic,Saloon,white
Suzuki,Alto,2011.0,15.0,153000.0,1000.0,Kurunegala,Used,Petrol,Manual,Convertible,silver
Suzuki,Wagon R,2018.0,8.0,75000.0,650.0,Horana,Used,Hybrid,Automatic,,white
Toyota,Aqua,2015.0,11.0,105000.0,1000.0,Nugegoda,Used,Petrol,Automatic,Hatchback,black
Daihatsu,Taft,2025.0,1.0,0.0,650.0,Galnewa,Brand New,Petrol,Automatic,Liftback,black
Suzuki,Alto,2011.0,15.0,130000.0,990.0,Wellawatta (Colombo 06),Used,Petrol,Manual,Hatchback,other
Nissan,NV100,2016.0,10.0,89000.0,800.0,Dematagoda (Colombo 09),Used,Petrol,Automatic,Convertible,silver
Suzuki,Alto,2015.0,11.0,0.0,800.0,Beliatta,Used,Petrol,Manual,Hatchback,white
Suzuki,Maruti,2008.0,18.0,0.0,650.0,Maho,Used,Petrol,Manual,,blue
Daihatsu,Charade,1987.0,39.0,0.0,990.0,Pilimatalawa,Used,Petrol,Manual,,red
Micro,Panda,2011.0,15.0,118000.0,1300.0,Godagama,Used,Petrol,Manual,Hatchback,white
Suzuki,Spacia,2024.0,2.0,0.0,650.0,Kohuwala,Brand New,Petrol,Automatic,Hatchback,black
Toyota,Vios,2005.0,21.0,180000.0,1496.0,Mawathagama,Used,Petrol,Automatic,Sedan,silver
Suzuki,Wagon R,2018.0,8.0,69000.0,660.0,Maharagama,Used,Petrol,Automatic,Liftback,white
Suzuki,Maruti,2000.0,26.0,60000.0,800.0,Malabe,Used,Petrol,Manual,Hatchback,black
Toyota,Premio,2012.0,14.0,124000.0,1500.0,Kadawatha,Reconditioned,Petrol,Automatic,Liftback,white
Nissan,Sunny,1994.0,32.0,0.0,1500.0,Chilaw,Used,Petrol,Manual,Hatchback,white
Toyota,Vitz,2011.0,15.0,115000.0,990.0,Kiribathkumbura,Used,Petrol,Automatic,Hatchback,black
Renault,KWID,2016.0,10.0,53842.0,1000.0,Panadura,Used,Petrol,Manual,Hatchback,white
Honda,Civic,2018.0,8.0,95000.0,1000.0,Alutgama,Used,Petrol,Automatic,Hatchback,gray
Toyota,Aqua,2012.0,14.0,22000.0,1490.0,Panadura,Used,Hybrid,Automatic,Hatchback,black
Toyota,Vitz,2007.0,19.0,107000.0,1300.0,Kesbewa,Used,Petrol,Automatic,Hatchback,silver
Mitsubishi,i-MiEV,2013.0,13.0,130000.0,,Moratuwa,Used,Electric,Automatic,Hatchback,silver
Toyota,Aqua,2013.0,13.0,140000.0,1500.0,Dehiwala,Used,Hybrid,Automatic,Liftback,blue
Suzuki,Wagon R,2024.0,2.0,7600.0,660.0,Ampara,Brand New,Hybrid,Automatic,Hatchback,silver
Suzuki,Wagon R,2014.0,12.0,0.0,900.0,Rambukkana,Used,Petrol,Automatic,Hatchback,red
Honda,Civic,2019.0,7.0,67000.0,1000.0,Dehiwala,Used,Petrol,Automatic,Sedan,red
Suzuki,Alto,2015.0,11.0,131500.0,800.0,Wattala,Used,Petrol,Manual,Hatchback,gray
Nissan,Roox,2023.0,3.0,6600.0,660.0,Kottawa,Brand New,Petrol,Automatic,Hatchback,white
Toyota,Corolla,2000.0,26.0,97000.0,1295.0,Nuwara Eliya,Used,Petrol,Automatic,Sedan,silver
Toyota,Aqua,2013.0,13.0,88000.0,1500.0,Kegalle,Used,Petrol,Automatic,Hatchback,blue
Toyota,Axio,2015.0,11.0,137000.0,1500.0,Kurunegala,Used,Petrol,Automatic,Convertible,white
Suzuki,Celerio,2015.0,11.0,97000.0,1000.0,Nawala,Used,Petrol,Automatic,Hatchback,black
Nissan,March,2000.0,26.0,160000.0,1000.0,Ratmalana,Used,Petrol,Automatic,Station wagon,blue
Toyota,Pixis,2015.0,11.0,0.0,650.0,Adampan,Used,Petrol,Automatic,,white
Suzuki,Alto,2015.0,11.0,98000.0,800.0,Kalmunai,Used,Petrol,Manual,Liftback,silver
Toyota,Vitz,2013.0,13.0,112450.0,1000.0,Kandy,Used,Petrol,Automatic,Hatchback,white
Toyota,Corolla,1996.0,30.0,0.0,1200.0,Pilimatalawa,Used,Diesel,Automatic,,white
Toyota,Vitz,2015.0,11.0,116000.0,1500.0,Ja-Ela,Used,Petrol,Automatic,,black
Mitsubishi,eK,2023.0,3.0,8000.0,650.0,Veyangoda,Reconditioned,Petrol,Automatic,Station wagon,black
Suzuki,Baleno,2019.0,7.0,35000.0,998.0,Biyagama,Used,Petrol,Automatic,Hatchback,white
Toyota,Vitz,2017.0,9.0,130000.0,990.0,Kadawatha,Used,Petrol,Automatic,Hatchback,black
Toyota,Corolla,2002.0,24.0,175000.0,1500.0,Wattala,Used,Petrol,Automatic,Saloon,silver
Toyota,Prius,2012.0,14.0,200000.0,1800.0,Nugegoda,Used,Hybrid,Automatic,Saloon,silver
Suzuki,Maruti,2010.0,16.0,0.0,800.0,Pilimatalawa,Used,Petrol,Manual,,blue
