Brand,Model_Name,Model_Year,Vehicle_Age,Mileage_km,Engine_Capacity,Location_District,Condition,Fuel_Type,Transmission,Body_Type,Colour,Price_LKR
Mazda,Flair,2025.0,1.0,10000.0,650.0,Panadura,Reconditioned,Hybrid,Automatic,Hatchback,white,8225000.0
Suzuki,Alto,2015.0,11.0,58000.0,650.0,Batticaloa,Used,Petrol,Manual,Hatchback,white,3800000.0
Suzuki,Wagon R,2017.0,9.0,130000.0,660.0,Maharagama,Used,Hybrid,Automatic,Liftback,white,6150000.0
Toyota,Yaris Ativ,2025.0,1.0,0.0,1000.0,Kurunegala,Brand New,Petrol,Automatic,Sedan,black,19300000.0
Mazda,Axela,2004.0,22.0,186000.0,1490.0,Ambalangoda,Used,Petrol,Automatic,Saloon,silver,5300000.0
Tata,Indigo,2015.0,11.0,119000.0,1200.0,Kirillawala,Used,Petrol,Manual,Hatchback,silver,3290000.0
Suzuki,Alto,2016.0,10.0,0.0,650.0,Horana,Used,Petrol,Manual,Liftback,white,3890000.0
Toyota,Aqua,2013.0,13.0,140000.0,1300.0,Alawala,Used,Petrol,Automatic,Liftback,black,8100000.0
Toyota,Premio,2017.0,9.0,152000.0,1496.0,Kurunegala,Used,Petrol,Automatic,Sedan,white,14700000.0
Toyota,Allion,2007.0,19.0,180000.0,1500.0,Moratuwa,Used,Petrol,Automatic,Sedan,black,8200000.0
Toyota,Vitz,2007.0,19.0,158000.0,1000.0,Ambalangoda,Used,Petrol,Automatic,Hatchback,white,5000000.0
Mercedes Benz,C200,2025.0,1.0,0.0,1500.0,Maradana (Colombo 10),Brand New,Hybrid,Automatic,Saloon,black,48900000.0
Honda,N BOX,2023.0,3.0,1234.0,658.0,Kottawa,Brand New,Petrol,Automatic,Liftback,silver,7550000.0
Honda,Fit,2014.0,12.0,84000.0,1500.0,Malabe,Used,Hybrid,Automatic,Hatchback,blue,8200000.0
Daihatsu,Mira,2024.0,2.0,0.0,660.0,Ratmalana,Brand New,Petrol,Automatic,,blue,6900000.0
Suzuki,Wagon R,2025.0,1.0,0.0,660.0,Moratuwa,Brand New,Petrol,Automatic,Station wagon,white,9950000.0
Suzuki,Wagon R,2024.0,2.0,6600.0,660.0,Kottawa,Brand New,Petrol,Automatic,Hatchback,other,7150000.0
Suzuki,Spacia,2024.0,2.0,0.0,650.0,Kurunegala,Brand New,Hybrid,Automatic,,gray,9600000.0
Toyota,Vitz,2007.0,19.0,128000.0,1000.0,Akurana,Used,Petrol,Automatic,Hatchback,white,5400000.0
Daewoo,Matiz,2000.0,26.0,75000.0,1200.0,Alawwa,Used,Petrol,Automatic,Liftback,red,1375000.0
Suzuki,Wagon R,2024.0,2.0,230.0,660.0,Kurunegala,Brand New,Petrol,Automatic,Hatchback,silver,7350000.0
Suzuki,Baleno,2017.0,9.0,98702.0,1000.0,Athurugiriya,Used,Petrol,Automatic,Hatchback,red,7500000.0
Suzuki,Wagon R,2014.0,12.0,114600.0,650.0,Yakkala,Reconditioned,Hybrid,Automatic,Hatchback,black,5700000.0
Toyota,Pixis,2015.0,11.0,0.0,650.0,Adampan,Used,Petrol,Automatic,,white,4950000.0
Suzuki,Swift,2017.0,9.0,76000.0,1000.0,Kalutara,Used,Petrol,Automatic,Hatchback,silver,7700000.0
Nissan,March,2001.0,25.0,131000.0,1000.0,Ambalangoda,Used,Petrol,Automatic,Hatchback,gray,3200000.0
Toyota,Aqua,2013.0,13.0,108000.0,1500.0,Ambalangoda,Used,Hybrid,Automatic,Liftback,silver,7275000.0
Tata,Indica,2006.0,20.0,125000.0,1000.0,Kurunegala,Used,Petrol,Manual,Hatchback,red,2800000.0
Suzuki,Alto,2017.0,9.0,0.0,650.0,Boralesgamuwa,Used,Petrol,Manual,Liftback,gray,5450000.0
Suzuki,Alto,2018.0,8.0,92000.0,800.0,Kiribathgoda,Used,Petrol,Automatic,,white,5750000.0
Suzuki,Swift,2017.0,9.0,134000.0,1000.0,Nawala,Used,Petrol,Automatic,Hatchback,red,8200000.0
Mitsubishi,Lancer,1992.0,34.0,0.0,1000.0,Kesbewa,Used,Petrol,Manual,Hatchback,red,2600000.0
Suzuki,Alto,2012.0,14.0,123.0,1000.0,Colombo Fort (Colombo 01),Reconditioned,Petrol,Manual,Hatchback,black,3000000.0
Suzuki,Wagon R,2024.0,2.0,2500.0,660.0,Panadura,Brand New,Petrol,Automatic,Hatchback,red,7095000.0
Toyota,Axio,2015.0,11.0,0.0,1500.0,Ja-Ela,Used,Petrol,Manual,Convertible,black,8400000.0
Daihatsu,Mira,2025.0,1.0,0.0,990.0,Hettipola,Brand New,Petrol,Automatic,Liftback,white,7450000.0
Nissan,March,1997.0,29.0,99000.0,990.0,Panadura,Used,Petrol,Manual,Saloon,other,2645000.0
Toyota,Vitz,2017.0,9.0,85000.0,1000.0,Homagama,Used,Petrol,Automatic,Hatchback,white,7550000.0
Toyota,Yaris,2025.0,1.0,200.0,1000.0,Katugastota,Reconditioned,Hybrid,Automatic,Saloon,white,10300000.0
Toyota,Premio,2018.0,8.0,90000.0,1500.0,Ambalangoda,Used,Petrol,Automatic,Sedan,white,15500000.0
Honda,Fit,2013.0,13.0,68700.0,1339.0,Ambalangoda,Used,Hybrid,Automatic,Liftback,blue,8900000.0
Honda,Fit,2015.0,11.0,113000.0,1500.0,Piliyandala,Used,Petrol,Automatic,Hatchback,red,7850000.0
Nissan,FB 14,1997.0,29.0,0.0,1500.0,Weliveriya,Used,Petrol,Manual,,red,2500000.0
Suzuki,Alto,2015.0,11.0,0.0,800.0,Kesbewa,Used,Petrol,Manual,Hatchback,other,4000000.0
Suzuki,Spacia,2023.0,3.0,6600.0,660.0,Kottawa,Brand New,Petrol,Automatic,Hatchback,gray,7150000.0
Suzuki,Wagon R,2025.0,1.0,0.0,650.0,Polonnaruwa,Brand New,Hybrid,Automatic,Hatchback,white,8800000.0
Suzuki,Spacia,2024.0,2.0,0.0,657.0,Kurunegala,Brand New,Petrol,Automatic,Saloon,black,9000000.0
Toyota,Premio,2018.0,8.0,53995.0,1500.0,Alutwewa,Used,Petrol,Automatic,Saloon,white,15200000.0
Perodua,Axia,2017.0,9.0,111000.0,1000.0,Kadawatha,Used,Petrol,Automatic,Hatchback,white,5790000.0
Suzuki,Wagon R,2017.0,9.0,94000.0,650.0,Pussellawa,Used,Petrol,Automatic,Hatchback,black,7200000.0
Suzuki,Alto,2011.0,15.0,146000.0,899.0,Katugastota,Used,Petrol,Manual,Hatchback,red,3150000.0
Honda,Grace,2015.0,11.0,155000.0,1500.0,Panadura,Used,Hybrid,Automatic,Sedan,white,9000000.0
Suzuki,Alto,2023.0,3.0,2300.0,1000.0,Ambalangoda,Used,Petrol,Automatic,Hatchback,silver,6850000.0
Honda,Grace,2015.0,11.0,120000.0,1500.0,Anuradhapura,Used,Hybrid,Automatic,Liftback,white,8950000.0
Toyota,Vitz,2019.0,7.0,37500.0,990.0,Ambalangoda,Used,Petrol,Automatic,Hatchback,red,8300000.0
Suzuki,Alto,2008.0,18.0,202000.0,800.0,Kotagala,Used,Petrol,Manual,Hatchback,red,2700000.0
Suzuki,Wagon R,2024.0,2.0,600.0,660.0,Kotte,Reconditioned,Petrol,Automatic,Hatchback,blue,7200000.0
Honda,Insight,2009.0,17.0,104045.0,1333.0,Embilipitiya,Reconditioned,Hybrid,Automatic,Saloon,blue,6850000.0
Mercedes Benz,E Class,2015.0,11.0,120000.0,2143.0,Ratmalana,Used,Diesel,Automatic,Saloon,silver,18300000.0
Suzuki,A Star,2011.0,15.0,40000.0,800.0,Horana,Used,Petrol,Manual,Hatchback,white,4150000.0
Suzuki,Maruti,2002.0,24.0,95000.0,,Piliyandala,Used,Petrol,Manual,Convertible,brown,3650000.0
Suzuki,Alto,2016.0,10.0,110000.0,650.0,Athurugiriya,Used,Hybrid,Automatic,Hatchback,black,5050000.0
Suzuki,Wagon R,2025.0,1.0,0.0,,Panadura,Brand New,Petrol,Automatic,Hatchback,white,8795000.0
Toyota,Aqua,2015.0,11.0,76000.0,1500.0,Gampaha,Used,Petrol,Automatic,Liftback,white,9000000.0
Toyota,Vitz,2017.0,9.0,114000.0,1000.0,Kollupitiya (Colombo 03),Used,Petrol,Automatic,Sports,gray,7000000.0
Toyota,Prius,2010.0,16.0,110000.0,1800.0,Gampaha,Used,Hybrid,Automatic,Saloon,silver,8150000.0
Toyota,Sprinter,1996.0,30.0,203000.0,1970.0,Matale,Used,Diesel,Manual,Sedan,white,3540000.0
Toyota,Vitz,2016.0,10.0,118000.0,1000.0,Ambalangoda,Used,Petrol,Automatic,Hatchback,blue,7200000.0
Toyota,Aqua,2013.0,13.0,210000.0,1490.0,Ambalangoda,Used,Hybrid,Automatic,Hatchback,white,7625000.0
Suzuki,Alto,2015.0,11.0,65000.0,660.0,Kurunegala,Used,Petrol,Automatic,Hatchback,red,4875000.0
Micro,Panda,2011.0,15.0,77100.0,1300.0,Badulla,Used,Petrol,Manual,Hatchback,silver,2575000.0
Toyota,Vitz,2007.0,19.0,85000.0,990.0,Walasmulla,Used,Petrol,Automatic,Hatchback,white,6050000.0
Suzuki,Wagon R,2024.0,2.0,4900.0,660.0,Matara,Brand New,Petrol,Automatic,Hatchback,blue,7290000.0
Daihatsu,Tanto,2025.0,1.0,0.0,660.0,Kurunegala,Brand New,Petrol,Automatic,Station wagon,green,8200000.0
Toyota,Belta,2010.0,16.0,164000.0,1000.0,Ja-Ela,Used,Petrol,Automatic,Liftback,blue,6850000.0
Suzuki,Alto,2015.0,11.0,0.0,800.0,Ragama,Used,Petrol,Manual,Hatchback,red,3775000.0
Toyota,Corolla,2008.0,18.0,185000.0,1600.0,Nugegoda,Used,Petrol,Automatic,Saloon,black,7000000.0
Toyota,Prius,2012.0,14.0,142000.0,1800.0,Horana,Used,Hybrid,Automatic,Hatchback,purple,8950000.0
Toyota,Vios,2005.0,21.0,120000.0,1497.0,Piliyandala,Used,Petrol,Manual,Saloon,orange,4690000.0
Toyota,Pixis,2018.0,8.0,55000.0,960.0,Negombo,Used,Petrol,Manual,Hatchback,white,5675000.0
Suzuki,Spacia,2023.0,3.0,0.0,660.0,Gampaha,Brand New,Petrol,Automatic,Hatchback,blue,8900000.0
Toyota,Passo,2023.0,3.0,6600.0,660.0,Kottawa,Brand New,Petrol,Automatic,Hatchback,black,7950000.0
Honda,Fit,2010.0,16.0,38000.0,1330.0,Ambalangoda,Used,Hybrid,Automatic,Hatchback,silver,5800000.0
Mitsubishi,eK,2016.0,10.0,99000.0,660.0,Pannipitiya,Used,Petrol,Automatic,Hatchback,pink,5350000.0
Suzuki,Spacia,2024.0,2.0,200.0,650.0,Kurunegala,Brand New,Hybrid,Automatic,,black,9600000.0
Suzuki,Wagon R,2018.0,8.0,17000.0,660.0,Ragama,Used,Hybrid,Automatic,Station wagon,silver,8500000.0
Nissan,Sunny,2001.0,25.0,113000.0,1300.0,Ambalangoda,Used,Petrol,Automatic,Saloon,gray,4800000.0
Suzuki,Swift,2017.0,9.0,81000.0,1000.0,Pussellawa,Used,Petrol,Automatic,Hatchback,white,8600000.0
Toyota,Premio,2010.0,16.0,0.0,1500.0,Polonnaruwa,Reconditioned,Petrol,Automatic,Saloon,red,9700000.0
Toyota,Vios,2005.0,21.0,158000.0,1500.0,Ragama,Used,Petrol,Automatic,Sedan,silver,4975000.0
Suzuki,Swift,2008.0,18.0,165000.0,1330.0,Kollupitiya (Colombo 03),Used,Petrol,Automatic,Hatchback,white,5650000.0
Suzuki,Wagon R,2025.0,1.0,0.0,650.0,Kataragama,Brand New,Hybrid,Automatic,Hatchback,white,7850000.0
Mercedes Benz,S Class,2006.0,20.0,153000.0,3500.0,Piliyandala,Used,Petrol,Automatic,Sedan,gray,23850000.0
Suzuki,Hustler,2024.0,2.0,0.0,999.0,Kelaniya,Brand New,Petrol,Automatic,Hatchback,white,7900000.0
Daihatsu,Taft,2025.0,1.0,3500.0,690.0,Kurunegala,Brand New,Hybrid,Automatic,Hatchback,green,7850000.0
Suzuki,Swift,2010.0,16.0,156000.0,1000.0,Vavuniya,Used,Petrol,Automatic,Hatchback,black,5850000.0
Geely,Panda,2012.0,14.0,75000.0,1300.0,Dankotuwa,Used,Petrol,Manual,Liftback,silver,2490000.0
Suzuki,Alto,2015.0,11.0,103000.0,800.0,Homagama,Used,Petrol,Manual,Liftback,black,3675000.0
Toyota,Yaris,2025.0,1.0,0.0,1000.0,Wattala,Brand New,Petrol,Automatic,Hatchback,white,10750000.0
Toyota,Axio,2018.0,8.0,125000.0,1500.0,Galle,Used,Hybrid,Automatic,Saloon,red,13000000.0
Toyota,Yaris,2025.0,1.0,10000.0,1000.0,Wattala,Brand New,Petrol,Automatic,Hatchback,white,9900000.0
Honda,Fit,2012.0,14.0,164000.0,1330.0,Siyambalape,Reconditioned,Petrol,Automatic,Hatchback,blue,6150000.0
Toyota,CHR,2019.0,7.0,20481.0,1190.0,Pilimatalawa,Used,Petrol,Automatic,Hatchback,white,16000000.0
Daihatsu,Taft,2024.0,2.0,0.0,890.0,Gampaha,Brand New,Petrol,Automatic,Station wagon,black,8500000.0
