Raw_Title,Raw_Price,Raw_Mileage,Raw_Metadata,Colour,Condition,Engine/Motor Capacity,Fuel Type,Manufacturer,Mileage,Model,Model Year,Power,Register Year,Transmission,Vehicle Type
Honda Civic 2017,"Rs: 12,500,000",km Find,"2026-02-19 | Telijjawila 82,285",silver,Used,1000,Petrol,Honda,82285,Civic,2017,1000,2018,Automatic,Car()
KIA Sephia 2002,"Rs: 2,600,000",km Find,"2026-02-10 | Mattegoda 162,481",gray,Used,1331,Petrol,KIA,162481,Sephia,2002,1331,2003,Automatic,Car(Sedan)
Toyota Belta 2007,"Rs: 5,500,000",km Find,"2026-02-06 | Homagama 166,600",silver,Used,1000,Petrol,Toyota,166600,Belta,2007,1000,2009,Automatic,Car(Saloon)
Suzuki Estilo 2010,"Rs: 4,250,000",km Find,"2026-02-22 | Batticaloa 142,500",silver,Used,800,Petrol,Suzuki,142500,Estilo,2010,800,2011,Manual,Car(Hatchback)
Toyota Prius 2011,"Rs: 8,900,000",km Find,"2026-02-22 | Anuradhapura 200,000",silver,Used,1800,Hybrid,Toyota,200000,Prius,2011,1800,2013,Automatic,Car(Saloon)
Nissan Leaf 2014,"Rs: 5,300,000",km Find,"2026-02-22 | Piliyandala 46,000",gray,Used,80,Electric,Nissan,46000,Leaf,2014,80,2015,Automatic,Car(Hatchback)
Suzuki Wagon R 2018,"Rs: 6,980,000",km Find,"2026-02-22 | Kalmunai 65,000",white,Used,650,Hybrid,Suzuki,65000,Wagon R,2018,650,2018,Automatic,Car(Sedan)
Toyota Prius 2008,"Rs: 6,750,000",km Find,"2026-02-22 | Medawachchiya 178,000",silver,Used,1500,Hybrid,Toyota,178000,Prius,2008,1500,2011,Automatic,Car(Hatchback)
Suzuki Wagon R 2018,"Rs: 7,075,000",km Find,"2026-02-22 | Chavakachcheri 72,000",white,Used,800,Hybrid,Suzuki,72000,Wagon R,2018,800,2018,Automatic,Car(Hatchback)
Nissan Dayz 2023,"Rs: 8,490,000",km Find,"2026-02-22 | Ja-Ela 19,600",orange,Brand New,650,Hybrid,Nissan,19600,Dayz,2023,650,Ref:,Automatic,Car(Station wagon)
Toyota Yaris 2024,"Rs: 9,800,000",km Find,"2026-02-22 | Dehiwala 7,000",white,Reconditioned,1000,Petrol,Toyota,7000,Yaris,2024,1000,2024,Automatic,Car(Hatchback)
Suzuki Spacia 2023,"Rs: 9,275,000",km Find,"2026-02-22 | Kalagedihena 1,200",red,Reconditioned,650,Hybrid,Suzuki,1200,Spacia,2023,650,2023,Automatic,Car(Sedan)
Toyota Prius 2012,"Rs: 9,600,000",km Find,"2026-02-22 | Katugastota 1,340,000",white,Used,1800,Petrol,Toyota,1340000,Prius,2012,1800,2014,Automatic,Car(Saloon)
Toyota Aqua 2012,"Rs: 6,550,000",km Find,"2026-02-22 | Galle 139,000",white,Used,1500,Petrol,Toyota,139000,Aqua,2012,1500,2013,Automatic,Car(Hatchback)
Suzuki Alto 2011,"Rs: 2,675,000",km Find,"2026-02-22 | Akurana 100,000",black,Used,796,Petrol,Suzuki,100000,Alto,2011,796,2012,Manual,Car(Hatchback)
Suzuki Wagon R 2016,"Rs: 7,300,000",km Find,"2026-02-22 | Kurunegala 112,000",white,Used,650,Petrol,Suzuki,112000,Wagon R,2016,650,2019,Automatic,Car(Station wagon)
Toyota Starlet 1998,"Rs: 2,875,000",km Find,"2026-02-22 | Alawatugoda 200,000",white,Used,1450,Diesel,Toyota,200000,Starlet,1998,1450,2000,Automatic,Car(Hatchback)
Toyota Premio 2014,"Rs: 12,150,000",km Find,"2026-02-22 | Wattala 77,421",maroon,Used,1400,Petrol,Toyota,77421,Premio,2014,1400,2014,Automatic,Car(Sedan)
Honda Civic 2017,"Rs: 12,500,000",km Find,"2026-02-19 | Telijjawila 82,285",silver,Used,1000,Petrol,Honda,82285,Civic,2017,1000,2018,Automatic,Car()
KIA Sephia 2002,"Rs: 2,600,000",km Find,"2026-02-10 | Mattegoda 162,481",gray,Used,1331,Petrol,KIA,162481,Sephia,2002,1331,2003,Automatic,Car(Sedan)
Toyota Belta 2007,"Rs: 5,500,000",km Find,"2026-02-06 | Homagama 166,600",silver,Used,1000,Petrol,Toyota,166600,Belta,2007,1000,2009,Automatic,Car(Saloon)
Toyota Corolla 1997,"Rs: 2,500,000",km Find,"2026-02-22 | Gampaha 185,000",white,Used,1330,Petrol,Toyota,185000,Corolla,1997,1330,2000,Automatic,Car(Saloon)
Toyota Yaris 2023,"Rs: 9,200,000",km Find,"2026-02-22 | Kurunegala 2,500",black,Brand New,690,Hybrid,Toyota,2500,Yaris,2023,690,Ref:,Automatic,Car(Hatchback)
Suzuki Wagon R 2017,"Rs: 7,000,000",,2026-02-22 | Gampaha Find Out More,gold,Used,800,Petrol,Suzuki,0,Wagon R,2017,800,2018,Automatic,Car(Liftback)
Toyota Vitz 2015,"Rs: 7,000,000",,2026-02-22 | Bandaragama Find Out More,blue,Used,990,Petrol,Toyota,0,Vitz,2015,990,2018,Automatic,Car(Hatchback)
Toyota Aqua 2013,"Rs: 8,100,000",km Find,"2026-02-22 | Alawala 140,000",black,Used,1300,Petrol,Toyota,140000,Aqua,2013,1300,2015,Automatic,Car(Liftback)
Suzuki Alto 2014,"Rs: 4,000,000",,2026-02-22 | Kalagedihena Find Out More,black,Used,800,Petrol,Suzuki,0,Alto,2014,800,2014,Manual,Car(Hatchback)
Suzuki Wagon R 2018,"Rs: 7,100,000",km Find,"2026-02-22 | Balana 89,000",white,Reconditioned,650,Petrol,Suzuki,89000,Wagon R,2018,650,2019,Automatic,Car(Station wagon)
Toyota Vitz 2016,"Rs: 7,200,000",km Find,"2026-02-22 | Oddamavadi 88,000",white,Used,1320,Petrol,Toyota,88000,Vitz,2016,1320,2019,Automatic,Car(Hatchback)
BMW 740Le 2018,"Rs: 36,500,000",km Find,"2026-02-22 | Nugegoda 120,000",white,Used,2000,Hybrid,BMW,120000,740Le,2018,2000,2019,Automatic,Car(Sedan)
Perodua Bezza 2019,"Rs: 7,800,000",km Find,"2026-02-22 | Moratuwa 90,000",white,Used,1000,Petrol,Perodua,90000,Bezza,2019,1000,2019,Automatic,Car(Saloon)
Honda Civic 2018,"Rs: 12,500,000",km Find,"2026-02-22 | Nawala 98,800",silver,Used,1000,Petrol,Honda,98800,Civic,2018,1000,2018,Tiptronic,Car(Hatchback)
Mercedes Benz C180 2011,"Rs: 10,700,000",km Find,"2026-02-22 | Maharagama 184,000",gray,Used,1800,Petrol,Mercedes Benz,184000,C180,2011,1800,2011,Tiptronic,Car(Sedan)
Nissan March 1999,"Rs: 3,625,000",km Find,"2026-02-22 | Kandy 211,000",silver,Used,1350,Petrol,Nissan,211000,March,1999,1350,2003,Automatic,Car(Hatchback)
