Brand,Model_Name,Model_Year,Vehicle_Age,Mileage_km,Engine_Capacity,Location_District,Condition,Fuel_Type,Transmission,Body_Type,Colour
Mazda,Flair,2025.0,1.0,10000.0,650.0,Panadura,Reconditioned,Hybrid,Automatic,Hatchback,white
Suzuki,Alto,2015.0,11.0,58000.0,650.0,Batticaloa,Used,Petrol,Manual,Hatchback,white
Suzuki,Wagon R,2017.0,9.0,130000.0,660.0,Maharagama,Used,Hybrid,Automatic,Liftback,white
Toyota,Yaris Ativ,2025.0,1.0,0.0,1000.0,Kurunegala,Brand New,Petrol,Automatic,Sedan,black
Mazda,Axela,2004.0,22.0,186000.0,1490.0,Ambalangoda,Used,Petrol,Automatic,Saloon,silver
Tata,Indigo,2015.0,11.0,119000.0,1200.0,Kirillawala,Used,Petrol,Manual,Hatchback,silver
Suzuki,Alto,2016.0,10.0,0.0,650.0,Horana,Used,Petrol,Manual,Liftback,white
Toyota,Aqua,2013.0,13.0,140000.0,1300.0,Alawala,Used,Petrol,Automatic,Liftback,black
Toyota,Premio,2017.0,9.0,152000.0,1496.0,Kurunegala,Used,Petrol,Automatic,Sedan,white
Toyota,Allion,2007.0,19.0,180000.0,1500.0,Moratuwa,Used,Petrol,Automatic,Sedan,black
Toyota,Vitz,2007.0,19.0,158000.0,1000.0,Ambalangoda,Used,Petrol,Automatic,Hatchback,white
Mercedes Benz,C200,2025.0,1.0,0.0,1500.0,Maradana (Colombo 10),Brand New,Hybrid,Automatic,Saloon,black
Honda,N BOX,2023.0,3.0,1234.0,658.0,Kottawa,Brand New,Petrol,Automatic,Liftback,silver
Honda,Fit,2014.0,12.0,84000.0,1500.0,Malabe,Used,Hybrid,Automatic,Hatchback,blue
Daihatsu,Mira,2024.0,2.0,0.0,660.0,Ratmalana,Brand New,Petrol,Automatic,,blue
Suzuki,Wagon R,2025.0,1.0,0.0,660.0,Moratuwa,Brand New,Petrol,Automatic,Station wagon,white
Suzuki,Wagon R,2024.0,2.0,6600.0,660.0,Kottawa,Brand New,Petrol,Automatic,Hatchback,other
Suzuki,Spacia,2024.0,2.0,0.0,650.0,Kurunegala,Brand New,Hybrid,Automatic,,gray
Toyota,Vitz,2007.0,19.0,128000.0,1000.0,Akurana,Used,Petrol,Automatic,Hatchback,white
Daewoo,Matiz,2000.0,26.0,75000.0,1200.0,Alawwa,Used,Petrol,Automatic,Liftback,red
Suzuki,Wagon R,2024.0,2.0,230.0,660.0,Kurunegala,Brand New,Petrol,Automatic,Hatchback,silver
Suzuki,Baleno,2017.0,9.0,98702.0,1000.0,Athurugiriya,Used,Petrol,Automatic,Hatchback,red
Suzuki,Wagon R,2014.0,12.0,114600.0,650.0,Yakkala,Reconditioned,Hybrid,Automatic,Hatchback,black
Toyota,Pixis,2015.0,11.0,0.0,650.0,Adampan,Used,Petrol,Automatic,,white
Suzuki,Swift,2017.0,9.0,76000.0,1000.0,Kalutara,Used,Petrol,Automatic,Hatchback,silver
Nissan,March,2001.0,25.0,131000.0,1000.0,Ambalangoda,Used,Petrol,Automatic,Hatchback,gray
Toyota,Aqua,2013.0,13.0,108000.0,1500.0,Ambalangoda,Used,Hybrid,Automatic,Liftback,silver
Tata,Indica,2006.0,20.0,125000.0,1000.0,Kurunegala,Used,Petrol,Manual,Hatchback,red
Suzuki,Alto,2017.0,9.0,0.0,650.0,Boralesgamuwa,Used,Petrol,Manual,Liftback,gray
Suzuki,Alto,2018.0,8.0,92000.0,800.0,Kiribathgoda,Used,Petrol,Automatic,,white
Suzuki,Swift,2017.0,9.0,134000.0,1000.0,Nawala,Used,Petrol,Automatic,Hatchback,red
Mitsubishi,Lancer,1992.0,34.0,0.0,1000.0,Kesbewa,Used,Petrol,Manual,Hatchback,red
Suzuki,Alto,2012.0,14.0,123.0,1000.0,Colombo Fort (Colombo 01),Reconditioned,Petrol,Manual,Hatchback,black
Suzuki,Wagon R,2024.0,2.0,2500.0,660.0,Panadura,Brand New,Petrol,Automatic,Hatchback,red
Toyota,Axio,2015.0,11.0,0.0,1500.0,Ja-Ela,Used,Petrol,Manual,Convertible,black
Daihatsu,Mira,2025.0,1.0,0.0,990.0,Hettipola,Brand New,Petrol,Automatic,Liftback,white
Nissan,March,1997.0,29.0,99000.0,990.0,Panadura,Used,Petrol,Manual,Saloon,other
Toyota,Vitz,2017.0,9.0,85000.0,1000.0,Homagama,Used,Petrol,Automatic,Hatchback,white
Toyota,Yaris,2025.0,1.0,200.0,1000.0,Katugastota,Reconditioned,Hybrid,Automatic,Saloon,white
Toyota,Premio,2018.0,8.0,90000.0,1500.0,Ambalangoda,Used,Petrol,Automatic,Sedan,white
Honda,Fit,2013.0,13.0,68700.0,1339.0,Ambalangoda,Used,Hybrid,Automatic,Liftback,blue
Honda,Fit,2015.0,11.0,113000.0,1500.0,Piliyandala,Used,Petrol,Automatic,Hatchback,red
Nissan,FB 14,1997.0,29.0,0.0,1500.0,Weliveriya,Used,Petrol,Manual,,red
Suzuki,Alto,2015.0,11.0,0.0,800.0,Kesbewa,Used,Petrol,Manual,Hatchback,other
Suzuki,Spacia,2023.0,3.0,6600.0,660.0,Kottawa,Brand New,Petrol,Automatic,Hatchback,gray
Suzuki,Wagon R,2025.0,1.0,0.0,650.0,Polonnaruwa,Brand New,Hybrid,Automatic,Hatchback,white
Suzuki,Spacia,2024.0,2.0,0.0,657.0,Kurunegala,Brand New,Petrol,Automatic,Saloon,black
Toyota,Premio,2018.0,8.0,53995.0,1500.0,Alutwewa,Used,Petrol,Automatic,Saloon,white
Perodua,Axia,2017.0,9.0,111000.0,1000.0,Kadawatha,Used,Petrol,Automatic,Hatchback,white
Suzuki,Wagon R,2017.0,9.0,94000.0,650.0,Pussellawa,Used,Petrol,Automatic,Hatchback,black
Suzuki,Alto,2011.0,15.0,146000.0,899.0,Katugastota,Used,Petrol,Manual,Hatchback,red
Honda,Grace,2015.0,11.0,155000.0,1500.0,Panadura,Used,Hybrid,Automatic,Sedan,white
Suzuki,Alto,2023.0,3.0,2300.0,1000.0,Ambalangoda,Used,Petrol,Automatic,Hatchback,silver
Honda,Grace,2015.0,11.0,120000.0,1500.0,Anuradhapura,Used,Hybrid,Automatic,Liftback,white
Toyota,Vitz,2019.0,7.0,37500.0,990.0,Ambalangoda,Used,Petrol,Automatic,Hatchback,red
Suzuki,Alto,2008.0,18.0,202000.0,800.0,Kotagala,Used,Petrol,Manual,Hatchback,red
Suzuki,Wagon R,2024.0,2.0,600.0,660.0,Kotte,Reconditioned,Petrol,Automatic,Hatchback,blue
Honda,Insight,2009.0,17.0,104045.0,1333.0,Embilipitiya,Reconditioned,Hybrid,Automatic,Saloon,blue
Mercedes Benz,E Class,2015.0,11.0,120000.0,2143.0,Ratmalana,Used,Diesel,Automatic,Saloon,silver
Suzuki,A Star,2011.0,15.0,40000.0,800.0,Horana,Used,Petrol,Manual,Hatchback,white
Suzuki,Maruti,2002.0,24.0,95000.0,,Piliyandala,Used,Petrol,Manual,Convertible,brown
Suzuki,Alto,2016.0,10.0,110000.0,650.0,Athurugiriya,Used,Hybrid,Automatic,Hatchback,black
Suzuki,Wagon R,2025.0,1.0,0.0,,Panadura,Brand New,Petrol,Automatic,Hatchback,white
Toyota,Aqua,2015.0,11.0,76000.0,1500.0,Gampaha,Used,Petrol,Automatic,Liftback,white
Toyota,Vitz,2017.0,9.0,114000.0,1000.0,Kollupitiya (Colombo 03),Used,Petrol,Automatic,Sports,gray
Toyota,Prius,2010.0,16.0,110000.0,1800.0,Gampaha,Used,Hybrid,Automatic,Saloon,silver
Toyota,Sprinter,1996.0,30.0,203000.0,1970.0,Matale,Used,Diesel,Manual,Sedan,white
Toyota,Vitz,2016.0,10.0,118000.0,1000.0,Ambalangoda,Used,Petrol,Automatic,Hatchback,blue
Toyota,Aqua,2013.0,13.0,210000.0,1490.0,Ambalangoda,Used,Hybrid,Automatic,Hatchback,white
Suzuki,Alto,2015.0,11.0,65000.0,660.0,Kurunegala,Used,Petrol,Automatic,Hatchback,red
Micro,Panda,2011.0,15.0,77100.0,1300.0,Badulla,Used,Petrol,Manual,Hatchback,silver
Toyota,Vitz,2007.0,19.0,85000.0,990.0,Walasmulla,Used,Petrol,Automatic,Hatchback,white
Suzuki,Wagon R,2024.0,2.0,4900.0,660.0,Matara,Brand New,Petrol,Automatic,Hatchback,blue
Daihatsu,Tanto,2025.0,1.0,0.0,660.0,Kurunegala,Brand New,Petrol,Automatic,Station wagon,green
Toyota,Belta,2010.0,16.0,164000.0,1000.0,Ja-Ela,Used,Petrol,Automatic,Liftback,blue
Suzuki,Alto,2015.0,11.0,0.0,800.0,Ragama,Used,Petrol,Manual,Hatchback,red
Toyota,Corolla,2008.0,18.0,185000.0,1600.0,Nugegoda,Used,Petrol,Automatic,Saloon,black
