subsample,reg_lambda,reg_alpha,min_child_weight,max_depth,learning_rate,colsample_bytree,val_rmse,best_iteration
0.9,5.0,0.5,1,6,0.05,1.0,1145497.1650928895,
1.0,2.0,0.0,1,7,0.05,0.9,1146326.602330386,
0.9,2.0,0.0,1,6,0.1,1.0,1179329.5814015325,
0.9,5.0,0.0,1,7,0.07,0.9,1201581.8196776817,
0.9,5.0,0.5,1,8,0.03,0.7,1211730.4635503513,
0.8,1.0,0.0,1,7,0.1,0.9,1229067.2149458532,
0.9,5.0,0.5,10,4,0.03,0.9,1377304.8667715238,
0.9,5.0,0.5,5,5,0.07,0.9,1448975.4593457326,
0.9,1.0,0.5,10,8,0.05,0.9,1544735.296779468,
0.7,5.0,0.5,10,6,0.05,0.7,1600265.1740526904,
