Brand,Model_Name,Model_Year,Vehicle_Age,Mileage_km,Engine_Capacity,Location_District,Condition,Fuel_Type,Transmission,Body_Type,Colour,Price_LKR
Nissan,Presea,1995.0,31.0,150000.0,1500.0,Katugastota,Used,Petrol,Manual,Hatchback,black,2340000.0
Suzuki,Alto,2015.0,11.0,110000.0,660.0,Kalutara,Used,Petrol,Manual,Hatchback,silver,3475000.0
Mercedes Benz,EQB,2024.0,2.0,0.0,,Kotahena (Colombo 13),Brand New,Electric,Automatic,Hatchback,blue,35800000.0
Honda,N BOX,2015.0,11.0,245000.0,650.0,Raddolugama,Used,Petrol,Automatic,Station wagon,black,5540000.0
Honda,S660,2016.0,10.0,27000.0,1000.0,Borella (Colombo 08),Used,Petrol,Automatic,Hatchback,white,6800000.0
Suzuki,Spacia,2017.0,9.0,72700.0,960.0,Gampaha,Used,Petrol,Automatic,Hatchback,yellow,6450000.0
Daihatsu,Taft,2025.0,1.0,0.0,660.0,Negombo,Brand New,Petrol,Automatic,Liftback,white,8500000.0
Perodua,Axia,2017.0,9.0,137000.0,998.0,Piliyandala,Used,Petrol,Automatic,Hatchback,white,5750000.0
Nissan,Tiida,2007.0,19.0,240000.0,1500.0,Ja-Ela,Used,Petrol,Automatic,Sedan,white,5490000.0
Suzuki,Wagon R,2024.0,2.0,0.0,650.0,Negombo,Brand New,Petrol,Automatic,Hatchback,gray,7500000.0
Hyundai,Matrix,2001.0,25.0,171132.0,1599.0,Dehiwala,Used,Petrol,Automatic,Hatchback,blue,2750000.0
Nissan,Dayz,2024.0,2.0,6600.0,660.0,Kottawa,Brand New,Petrol,Automatic,Hatchback,black,7150000.0
Suzuki,Spacia,2017.0,9.0,95000.0,650.0,Homagama,Used,Petrol,Automatic,Station wagon,white,6700000.0
Toyota,Passo,2009.0,17.0,131.0,1000.0,Gampaha,Used,Petrol,Automatic,Hatchback,silver,4825000.0
Toyota,Yaris,2025.0,1.0,0.0,1000.0,Kollupitiya (Colombo 03),Brand New,Petrol,Automatic,Hatchback,white,10600000.0
Toyota,Vitz,2016.0,10.0,87900.0,1490.0,Maharagama,Used,Hybrid,Automatic,Hatchback,red,6690000.0
Nissan,Sunny,2004.0,22.0,225000.0,1500.0,Kalubowila,Used,Petrol,Automatic,Convertible,white,4675000.0
Suzuki,Wagon R,2023.0,3.0,8000.0,650.0,Matara,Brand New,Hybrid,Automatic,Hatchback,black,7700000.0
Toyota,Vios,2004.0,22.0,224000.0,1490.0,Pepiliyana,Used,Petrol,Automatic,Saloon,black,5270000.0
Nissan,Sakura,2023.0,3.0,9800.0,,Horana,Brand New,Electric,Automatic,Hatchback,blue,7850000.0
Suzuki,Wagon R,2014.0,12.0,112000.0,998.0,Anuradhapura,Used,Hybrid,Automatic,Station wagon,white,5000000.0
Suzuki,Wagon R,2017.0,9.0,110000.0,660.0,Katunayake,Used,Hybrid,Automatic,Liftback,white,6950000.0
Suzuki,Wagon R,2014.0,12.0,183000.0,660.0,Gampaha,Used,Hybrid,Automatic,Hatchback,black,5500000.0
Suzuki,Wagon R,2024.0,2.0,3400.0,690.0,Kurunegala,Brand New,Hybrid,Automatic,Hatchback,gray,7500000.0
Toyota,Axio,2007.0,19.0,180000.0,1496.0,Kirillawala,Used,Petrol,Automatic,Sedan,silver,6875000.0
Toyota,Aqua,2015.0,11.0,115000.0,1500.0,Malabe,Used,Hybrid,Automatic,Hatchback,black,8390000.0
Toyota,Aqua,2012.0,14.0,175000.0,1490.0,Mount Lavinia,Reconditioned,Hybrid,Automatic,Hatchback,orange,6525000.0
Suzuki,Celerio,2015.0,11.0,80000.0,1000.0,Kalmunai,Used,Petrol,Automatic,Hatchback,white,5200000.0
Mercedes Benz,S Class,2010.0,16.0,98000.0,3000.0,Kirulapone,Used,Petrol,Automatic,Sedan,black,21500000.0
Toyota,Corolla,2001.0,25.0,219386.0,1500.0,Ratnapura,Used,Petrol,Automatic,Saloon,black,5350000.0
Suzuki,Maruti,2011.0,15.0,93000.0,800.0,Morontuduwa,Used,Petrol,Manual,Hatchback,black,2275000.0
Suzuki,Celerio,2016.0,10.0,115000.0,1000.0,Kadawatha,Used,Petrol,Automatic,Hatchback,white,5275000.0
Toyota,Corolla,2023.0,3.0,3150.0,1500.0,Gampaha,Reconditioned,Petrol,Automatic,Saloon,red,17350000.0
