Raw_Title,Raw_Price,Raw_Mileage,Raw_Metadata,Colour,Condition,Engine/Motor Capacity,Fuel Type,Manufacturer,Mileage,Model,Model Year,Power,Register Year,Transmission,Vehicle Type
Honda Civic 2017,"Rs: 12,500,000",km Find,"2026-02-19 | Telijjawila 82,285",silver,Used,1000,Petrol,Honda,82285,Civic,2017,1000,2018,Automatic,Car()
KIA Sephia 2002,"Rs: 2,600,000",km Find,"2026-02-10 | Mattegoda 162,481",gray,Used,1331,Petrol,KIA,162481,Sephia,2002,1331,2003,Automatic,Car(Sedan)
Toyota Belta 2007,"Rs: 5,500,000",km Find,"2026-02-06 | Homagama 166,600",silver,Used,1000,Petrol,Toyota,166600,Belta,2007,1000,2009,Automatic,Car(Saloon)
Nissan FB 14 1998,"Rs: 3,150,000",km Find,"2026-02-21 | Pilimatalawa 185,000",silver,Used,1500,Petrol,Nissan,185000,FB 14,1998,1500,1998,Automatic,Car(Hatchback)
Honda Civic 2003,"Rs: 4,900,000",km Find,"2026-02-21 | Kandy 195,000",red,Used,1500,Petrol,Honda,195000,Civic,2003,1500,2003,Automatic,Car(Sedan)
Toyota Yaris 2023,"Rs: 8,900,000",km Find,"2026-02-21 | Negombo 1,200",white,Brand New,1200,Petrol,Toyota,1200,Yaris,2023,1200,2023,Automatic,Car(Hatchback)
Toyota Prius 2014,"Rs: 9,500,000",km Find,"2026-02-21 | Colombo Fort (Colombo 01) 132,000",silver,Used,1200,Petrol,Toyota,132000,Prius,2014,1200,2015,Automatic,Car(Hatchback)
Toyota Vitz 2019,"Rs: 8,300,000",km Find,"2026-02-21 | Colombo Fort (Colombo 01) 49,000",white,Used,1200,Petrol,Toyota,49000,Vitz,2019,1200,2019,Automatic,Car(Hatchback)
Honda Civic 2017,"Rs: 12,500,000",km Find,"2026-02-19 | Telijjawila 82,285",silver,Used,1000,Petrol,Honda,82285,Civic,2017,1000,2018,Automatic,Car()
KIA Sephia 2002,"Rs: 2,600,000",km Find,"2026-02-10 | Mattegoda 162,481",gray,Used,1331,Petrol,KIA,162481,Sephia,2002,1331,2003,Automatic,Car(Sedan)
Toyota Belta 2007,"Rs: 5,500,000",km Find,"2026-02-06 | Homagama 166,600",silver,Used,1000,Petrol,Toyota,166600,Belta,2007,1000,2009,Automatic,Car(Saloon)
Daihatsu Mira 2024,"Rs: 7,200,000",km Find,"2026-02-21 | Kollupitiya (Colombo 03) 2,400",blue,Brand New,660,Petrol,Daihatsu,2400,Mira,2024,660,Ref:,Automatic,Car(Hatchback)
Toyota Passo 2009,"Rs: 4,650,000",km Find,"2026-02-21 | Gampaha 131,275",silver,Used,1000,Petrol,Toyota,131275,Passo,2009,1000,2011,Automatic,Car(Hatchback)
Suzuki Wagon R 2014,"Rs: 5,050,000",km Find,"2026-02-21 | Homagama 112,000",white,Used,650,Petrol,Suzuki,112000,Wagon R,2014,650,2015,Automatic,Car(Hatchback)
Suzuki Wagon R 2017,"Rs: 6,250,000",km Find,"2026-02-21 | Katana 120,000",brown,Used,650,Petrol,Suzuki,120000,Wagon R,2017,650,2017,Automatic,Car(Hatchback)
Toyota Yaris 2025,"Rs: 10,600,000",,2026-02-21 | Kollupitiya (Colombo 03) Find Out More,white,Brand New,1000,Petrol,Toyota,0,Yaris,2025,1000,Ref:,Automatic,Car(Hatchback)
Suzuki Wagon R 2014,"Rs: 5,550,000",km Find,"2026-02-21 | Alampil 98,000",silver,Used,650,Petrol,Suzuki,98000,Wagon R,2014,650,2015,Automatic,Car(Station wagon)
Toyota Aqua 2012,"Rs: 6,200,000",km Find,"2026-02-21 | Kadawatha 153,000",black,Used,1490,Petrol,Toyota,153000,Aqua,2012,1490,2013,Automatic,Car(Liftback)
Micro Panda 2014,"Rs: 3,250,000",km Find,"2026-02-21 | Kahathuduwa 85,000",red,Used,1300,Petrol,Micro,85000,Panda,2014,1300,2014,Manual,Car(Hatchback)
Toyota Allion 2007,"Rs: 7,800,000",km Find,"2026-02-21 | Homagama 260,000",red,Used,1500,Petrol,Toyota,260000,Allion,2007,1500,2007,Automatic,Car(Sedan)
Micro Panda 2018,"Rs: 3,850,000",km Find,"2026-02-21 | Kaleliya 65,600",black,Used,1000,Petrol,Micro,65600,Panda,2018,1000,2018,Tiptronic,Car(Hatchback)
Subaru R2 2003,"Rs: 3,000,000",km Find,"2026-02-21 | Moratuwa 182,000",gray,Used,650,Petrol,Subaru,182000,R2,2003,650,2003,Automatic,Car(Hatchback)
Honda City 2025,"Rs: 13,500,000",km Find,2026-02-21 | Kollupitiya (Colombo 03) 135,gray,Brand New,1000,Petrol,Honda,135,City,2025,1000,Ref:,Tiptronic,Car(Sedan)
Suzuki Wagon R 2025,"Rs: 8,590,000",,2026-02-21 | Wattala Find Out More,white,Brand New,650,Petrol,Suzuki,0,Wagon R,2025,650,Ref:,Automatic,Car(Hatchback)
Toyota Vitz 2007,"Rs: 5,150,000",km Find,"2026-02-21 | Ratmalana 188,200",blue,Used,1000,Petrol,Toyota,188200,Vitz,2007,1000,2010,Automatic,Car(Hatchback)
Nissan Primera 2001,"Rs: 4,200,000",km Find,"2026-02-21 | Galle 128,887",gold,Used,1990,Petrol,Nissan,128887,Primera,2001,1990,2004,Automatic,Car(Saloon)
Toyota Roomy 2024,"Rs: 10,900,000",km Find,"2026-02-21 | Kohuwala 4,000",white,Brand New,1000,Petrol,Toyota,4000,Roomy,2024,1000,Ref:,Automatic,Car(Hatchback)
Suzuki Wagon R 2025,"Rs: 8,200,000",km Find,2026-02-21 | Kohuwala 35,white,Brand New,650,Hybrid,Suzuki,35,Wagon R,2025,650,Ref:,Automatic,Car(Hatchback)
Honda Civic 2017,"Rs: 12,500,000",km Find,"2026-02-19 | Telijjawila 82,285",silver,Used,1000,Petrol,Honda,82285,Civic,2017,1000,2018,Automatic,Car()
KIA Sephia 2002,"Rs: 2,600,000",km Find,"2026-02-10 | Mattegoda 162,481",gray,Used,1331,Petrol,KIA,162481,Sephia,2002,1331,2003,Automatic,Car(Sedan)
Toyota Belta 2007,"Rs: 5,500,000",km Find,"2026-02-06 | Homagama 166,600",silver,Used,1000,Petrol,Toyota,166600,Belta,2007,1000,2009,Automatic,Car(Saloon)
Toyota Vitz 2011,"Rs: 6,150,000",km Find,"2026-02-21 | Kiribathkumbura 115,000",black,Used,990,Petrol,Toyota,115000,Vitz,2011,990,2012,Automatic,Car(Hatchback)
Hyundai Eon 2018,"Rs: 4,500,000",km Find,"2026-02-21 | Kelaniya 65,000",gray,Used,814,Petrol,Hyundai,65000,Eon,2018,814,2019,Manual,Car(Saloon)
Toyota Aqua 2015,"Rs: 8,300,000",km Find,"2026-02-21 | Nugegoda 105,000",black,Used,1000,Petrol,Toyota,105000,Aqua,2015,1000,2015,Automatic,Car(Hatchback)
