subsample,reg_lambda,reg_alpha,min_child_weight,max_depth,learning_rate,colsample_bytree,val_rmse,best_iteration
0.9,5.0,0.5,10,4,0.03,0.9,1746453.5287482205,
1.0,2.0,0.0,1,7,0.05,0.9,1762021.7555927678,
0.9,1.0,0.5,10,8,0.05,0.9,1762706.3267017861,
0.9,5.0,0.5,1,8,0.03,0.7,1771961.8734436552,
0.7,5.0,0.5,10,6,0.05,0.7,1800304.2215871776,
0.9,5.0,0.5,5,5,0.07,0.9,1823876.7426922824,
0.9,2.0,0.0,1,6,0.1,1.0,1859749.8359654518,
0.8,1.0,0.0,1,7,0.1,0.9,1944274.025580163,
0.9,5.0,0.0,1,7,0.07,0.9,2012666.142238527,
0.9,5.0,0.5,1,6,0.05,1.0,2064655.1555101774,
